其他成果id,成果名称,成果类型,日期,归属二级单位名称,成员信息,校内成员账号
201,《当代中国经济与社会主义意识形态互动发展研究》,专著,2010-08-01,教育学院,叶启绩（005313）、谭毅（005060）、陈淑琼（012057）、陈付龙（08110274）、李文珍（020030）、姜海龙（006695）、袁清瑞（006497）、付春光（006166）、万欣荣（030117）,005060、012057、020030、006497、006166、030117
202,《当代国外社会主义意识形态发展导论》,专著,2010-08-01,教育学院,郭文亮（005655）、沈成飞（070124）、陈淑琼（012057）、杨菲蓉（006646）、孙晓晖（08110279）、王经北（08110280）、罗嗣亮（100154）、刘霞（08110278）,070124、012057、100154
203,《医学伦理学》(普通高等教育 “十一五”国家级规划教材),教材,2007-10-01,教育学院,吴素香（012044）、王庭槐（011096）、郭乡村、冯显威、梁莉、孙丽红、张晓虎、陆翠岩、李彦秋、江传月（020076）、张亮、何振、陈淑琼（012057）、周宏菊、刘秋生（811175）、欧阳永忠（005750）、章幸愉（012049）、严金海、吕志、邹宇华、邹宗峰、白洪海、吴江生、陈君、何兴梅、魏琳、陈维、邓蕊、黄妹,012057、811175、005750
204,《当代中国社会转型时期经济建设思想的价值冲突与重构》,专著,2014-12-01,教育学院,郑吴志（004044）、谭毅（005060）、陈淑琼（012057）、李文珍（020030）、胡莹（080109）、马爱云（9210244）,005060、012057、020030、080109
205,《医学与人文》,专著,2010-01-01,教育学院,吴素香（012044）、李萍（003746）、钟明华（003969）、陈淑琼（012057）、王志康（006492）、张友元（9160198）、陈玉川（017071）、章幸愉（012049）、杨德华（015136）、赵耕源、侯灿（964177）、黄铎香、陈来成（012168）,012057
206,《毛泽东思想和中国特色社会主义理论体系概论》辅助教材,教材,2008-12-01,教育学院,杨菲蓉（006646）、郑永廷（005420）、陈淑琼（012057）、江传月（020076）、傅义强、李兴国、赵军祥、吕志、王艳玲、李俊彪、龙柏林（040090）、李文珍（020030）、谢迪斌、李霞、刘华,012057、040090、020030
207,现代汉语书面语中跨标点句句法关系约束条件的研究,专著,2014-06-01,中国语言文学系,张瑞朋（070126）,070126
208,来华留学生临床医学专业本科（英语）授课教学大纲,编著,2019-06-01,中国语言文学系,邓淑兰（012063）,012063
209,痉挛治疗—超声引导下肉毒毒素靶点注射技术,专著,2021-08-01,孙逸仙纪念医院,马超（822052）、伍少玲（821577）、杨海云（822186）、郭开华（030064）,822052、821577、822186、030064
210,《网球运动理论与实践》,教材,2021-08-01,体育部,陈祥慧（180312）、胡锐（160334）、张保华（004617）,180312、160334
211,《网球运动教学体系构建与专项训练研究》,专著,2020-12-01,体育部,陈祥慧（180312）,180312
212,Development of Novel Solid-Phase Microextraction Fibers,编著,2017-01-01,化学学院,徐剑桥（190563）、欧阳钢锋（005818）,190563、005818
213,生物化学与分子生物学同步习题集,教材,2018-12-01,中山医学院,王海河（110001）、杨霞（012134）、杨中汉（011008）、袁洁（060130）、龙石银、张海涛、牛亚梅、方淑环、齐炜炜（150175）、宇丽、宋志宏（011100）、周倜（130242）、赵青、贾连群、郭学敏（100046）、陶莎（011049）、黄朝峰（100009）、银巍（014190）、傅强,110001、012134、011008、060130、150175、130242、100009、014190
214,幼儿足球游戏与实践,教材,2021-09-10,,邓伟、李寅（180309）,180309
215,系统解剖学（第2版）,教材,2017-03-01,中山医学院,郭开华（030064）,030064
216,系统解剖学（第2版）,教材,2020-01-01,中山医学院,郭开华（030064）,030064
217,医学影像应用解剖学（第2版）,教材,2018-01-01,中山医学院,郭开华（030064）,030064
218,生物化学与分子生物学精编速览,教材,2018-12-01,中山医学院,杨霞（012134）、王海河（110001）、张海涛、杨中汉（011008）、龙石银、袁洁（060130）、牛亚梅、方淑环、齐炜炜（150175）、宇丽、宋志宏（011100）、周倜（130242）、赵青、贾连群、郭学敏（100046）、陶莎（011049）、黄朝峰（100009）、银巍（014190）、傅强,012134、110001、011008、060130、150175、130242、100009、014190
219,功能解剖学,教材,2018-03-01,中山医学院,郭开华（030064）,030064
220,系统解剖学（第4版）,教材,2018-08-01,中山医学院,郭开华（030064）,030064
221,西北干旱区沙漠绿洲陆气相互作用,专著,2018-04-01,,吕世华、孟宪红、奥银焕、张宇、陈世强、韩博（180086）,180086
222,工程地质与水文地质,教材,2021-09-15,土木工程学院,张清涛（150157）,150157
223,高星级酒店炫耀性营销研究,专著,2019-06-01,旅游学院,黎耀奇（160208）、谢礼珊（004472）,160208、004472
224,《岭外洞宗高僧三种》之《涂鸦集》,编著,2015-12-31,中国语言文学系,钟东（006591）,006591
225,传禅说故,编著,2017-08-31,中国语言文学系,钟东（006591）,006591
226,阴那山志,编著,2016-12-15,中国语言文学系,钟东（006591）,006591
227,云门宗丛书·镡津文集,编著,2016-08-30,中国语言文学系,钟东（006591）,006591
228,《昆曲艺术大典》之《十五贯》,编著,2016-01-31,中国语言文学系,钟东（006591）,006591
229,云门宗丛书·雪窦重显禅师集,编著,2016-08-30,中国语言文学系,钟东（006591）,006591
230,新思路阅读突破 高一英语,编著,2001-09-01,外国语学院,郑岩芳（006039）、文伟,006039
231,新思路阅读突破 高三英语,编著,2001-09-01,外国语学院,郑岩芳（006039）、文伟,006039
232,基于悉尼学派语类读写法的中国学术英语写作教学研究,专著,2016-03-01,外国语学院,陈静（030094）,030094
233,新英语教程（第五版）听说 教师用书4,教材,2017-04-01,外国语学院,郑岩芳（006039）、谢芳（180319）、陈贤文（129230）、李红满（080160）、曾春莲（005613）,006039、180319、080160、005613
234,新英语教程（第五版）听说4,教材,2017-04-01,外国语学院,郑岩芳（006039）、谢芳（180319）、陈贤文（129230）、李红满（080160）、曾春莲（005613）,006039、180319、080160、005613
235,新英语教程（第五版）综合4,教材,2017-06-01,外国语学院,谢芳（180319）、郑岩芳（006039）、李红满（080160）、曾春莲（005613）,180319、006039、080160、005613
236,Sustainable Urban Metabolism,专著,2015-08-05,,陈绍晴（170038）、陈彬,170038
237,Life cycle Assessment of Biogas Systems,专著,2014-07-01,,陈绍晴（170038）、陈彬,170038
238,Extending the Application of Network Analysis to Ecological Risk Assessment for Aquatic Ecosystems,专著,2014-12-01,,陈绍晴（170038）、陈彬,170038
239,粤港澳大湾区碳-水足迹核算与协同管理政策分析,专著,2020-12-01,环境科学与工程学院,陈绍晴（170038）、吴俊良（21110698）、谭旖琦（14324077）,170038
240,大学英语语法应试技巧：双色板,编著,2003-11-01,外国语学院,郑岩芳（006039）、李望国,006039
241,等离子体流化床,专著,2021-01-01,环境科学与工程学院,杜长明（060181）、孟凡刚（090015）、韦献革（005812）,060181、090015、005812
242,城市摊贩的社会经济根源与空间政治,专著,2015-06-01,,黄耿志（190082）,190082
243,新世纪海上丝绸之路：东南亚发展与区域合作,编著,2018-05-01,,张虹鸥、黄耿志（190082）,190082
244,流行病学实习教程,教材,2021-07-01,公共卫生学院,陈维清（014044）、卢次勇（014185）、张彩霞（014072）、徐琳（160232）、任泽舫（014055）、刘旭东（170211）、刘跃伟（190022）、肖苏妹（130008）、张定梅（130214）、陆家海（030172）、陈裕明（014077）、林华亮（170213）、郭雅伟（180228）,014044、014185、160232、190022、130008、130214、030172、014077、170213、180228
245,国际商业伦理简明教程,教材,2017-05-01,,Charles Mitchell、尹珏林（180130）,180130
246,发育行为儿科学,教材,2020-03-01,公共卫生学院,金星明、静进（014148）、江帆、徐秀、李斐、李廷玉、杨斌让、邹小兵（830300）、张劲松、陈文雄、金宇（014122）、麻宏伟、童梅玲,830300、014122
247,《你好，我的宝贝——这样保育，宝贝更健康》,编著,2015-08-01,公共卫生学院,金宇（014122）、叶亦芃,014122
248,大学体育健康理论与实践,教材,2005-09-02,体育部,张保华（004617）、曹策礼（005015）、黄小华（014015）、石宏（005271）、樊莲香（006638）、何文胜（006873）、张新萍（006556）、方娅（006553）、刘思华（005826）,006556
249,心理科学：培养科学素养,专著,2017-10-01,心理学系,张明、岳珍珠（110164）,110164
250,皮划艇运动教学与训练,编著,2020-03-16,,赵云雷（180305）、姜小丽、周意男、林秋华,180305
251,龙舟运动理论分析及技战术学练研究,专著,2021-06-16,,赵云雷（180305）,180305
252,日语副词的偏误研究（中）,编著,2021-08-01,外国语学院,徐爱红（020166）,020166
253,中国城镇化进程中的乡村发展及空间优化重组,专著,2016-09-30,地理科学与规划学院,杨忍（130280）,130280
254,大学生体育与健康,教材,2014-09-01,体育部,尚瑞花（020130）,020130
255,全科医学概论,教材,2012-08-01,公共卫生学院,白华民、白英龙、丁水珍、古丽巴哈尔.卡德尔、郭桂平、何作顺、黄鹏、金宇（014122）、刘柳红、罗家有、王家骥、尹逊强、余毅震、翟玲玲、张立威、张艳、赵琳琳、赵淑英、朱海霞,014122
256,运动处方(第三版),教材,2021-09-01,,王正珍、徐峻华、王艳、罗曦娟（150169）、陈桂英、张献博、李雪梅、祝莉,150169
257,中国企业股权结构若干特征研究——理论分析与经验证据,专著,2019-06-01,管理学院（创业学院）,魏明海（8160001）、程敏英（140206）、蔡贵龙（237004）、黄琼宇,140206
258,气候变化与区域水分收支—实测•遥感•模拟,专著,2011-07-15,,邱国玉、李瑞利、张清涛（150157）,150157
259,Silicon Nanomaterials Sourcebook,专著,2017-09-01,材料科学与工程学院,刘璞（110160）,110160
260,南极高分辨率遥感制图研究,专著,2021-11-01,测绘科学与技术学院,惠凤鸣（190191）、程晓（190117）、刘岩、康婧、李新情（206047）,190191、190117
261,中国现代文化视野中的逻辑思潮,专著,2009-04-01,哲学系,曾昭式（090108）,090108
262,从经验立场出发的心理学,译著,2020-05-25,哲学系,郝亿春（100099）,100099
263,ACSM运动测试与运动处方指南（第十版）,译著,2019-06-01,,王正珍、罗曦娟（150169）、张献博、钱菁华、李新、邱俊强、高瑞芳、王娟、王艳、张禹、李博文,150169
264,粤港澳大湾区可持续发展指数报告,专著,2018-05-01,粤港澳发展研究院,张光南（100135）,100135
265,《从邂逅到相识：孔子与亚里士多德相遇在明清》,专著,2019-11-26,哲学系,梅谦立（060178）,060178
266,粤港澳服务贸易自由化：“负面清单”管理模式,专著,2012-12-01,港澳珠江三角洲研究中心,张光南（100135）,100135
267,粤港澳合作：政商手册——服务贸易“负面清单”,编著,2016-08-01,粤港澳发展研究院,张光南（100135）,100135
268,粤港澳服务贸易自由化“负面清单”升级版：清单方案、政策创新、示范基地,编著,2018-03-01,粤港澳发展研究院,张光南（100135）,100135
269,港澳青年内地创业：企业案例·创业者故事·政府政策,编著,2018-06-01,粤港澳发展研究院,张光南（100135）,100135
270,卫星海洋学,译著,2018-08-01,海洋科学学院,刘汾汾（130315）,130315
271,中国逻辑史研究方法论：首届两岸中国逻辑史学术研讨会论文集,编著,2019-06-01,逻辑与认知研究所,何杨（140230）、李贤中,140230
272,四书系统下的儒家经学与政教秩序,编著,2019-12-01,哲学系,周春健（090062）,090062
273,经学通论校注,专著,2021-04-01,哲学系,周春健（090062）,090062
274,诗经讲义稿,专著,2019-02-01,哲学系,周春健（090062）,090062
275,內界深深深几许-关洪文集,编著,2016-10-01,物理学院,赵福利（005671）、李志兵、陈敏,005671
276,statistical mechanics of neural networks,专著,2022-01-05,物理学院,黄海平（180095）,180095
277,光学,教材,2018-08-01,物理学院,陈敏、赵福利（005671）、董建文,005671
278,太阳能基础理论与建模估算技术,译著,2013-10-01,物理学院,付青（060077）,060077
279,儿童康复学-学习指导及习题集,教材,2019-02-01,公共卫生学院,马丙祥、李海峰、龙耀斌、肖农、吕智海、吴德、朱登纳、欧阳辉、杜青、庞伟、李玲、侯梅、李秀红（014181）、唐久来、李晓捷,014181
280,Statistical Methods for Biomedical Research,教材,2021-05-01,公共卫生学院,方积乾（014040）、郝元涛（014178）、宇传华、张岩波、顾菁（110079）、徐天和、刘裕（197119）,110079
281,中华生物医学统计大辞典-统计遗传分册,专著,2020-12-01,公共卫生学院,绕绍奇、王学钦（070018）、李启寨、李淼新（160021）、李金明、许德华、孙胜南、李让、李然、肖苏妹（130008）、张凡、陈业达、陈应坚、陈晓琳、陈新林、林帆、赵小蕾、胡月、郜艳晖、栾奕昭、郭小波、梁岩、韩克栋、覃继恒、曾景棠、温灿红、蓝树金、廖苑君、谭海珠、黎海霞,160021、130008
282,人卫出版社国家医学教育题库《生理学》,专著,2019-09-01,中山医学院,谈智（040152）,040152
